L_imu_ax,L_imu_ay,L_imu_az,L_imu_gx,L_imu_gy,L_imu_gz,R_imu_ax,R_imu_ay,R_imu_az,R_imu_gx,R_imu_gy,R_imu_gz
0.74951494,0.5902197,0.53923744,0.3007901,0.55590856,0.62796324,0.031683873,0.8051289,0.93327785,0.26665625,0.77744555,0.14834265
0.62342954,0.6290498,0.6108846,0.3249364,0.52888066,0.72726184,0.17179188,0.7472813,0.8157129,0.34933636,0.5658518,0.23944773
0.6773177,0.6119065,0.60794663,0.33712444,0.6215374,0.8004531,0.27401543,0.70201904,0.7393303,0.43618107,0.434274,0.35611048
0.61258054,0.5590296,0.5109611,0.31447932,0.6007016,0.79802626,0.33598858,0.6817059,0.7043718,0.5316689,0.36605042,0.48646438
0.45910466,0.58756834,0.55934936,0.27110487,0.5996508,0.8087655,0.3686733,0.60755634,0.6955116,0.6345405,0.35559016,0.6209796
0.5111204,0.54254305,0.5113113,0.2756883,0.5955553,0.8001697,0.3969351,0.52803606,0.68277943,0.7346636,0.37221146,0.7312202
0.5146036,0.60863477,0.5517189,0.29809463,0.5708173,0.7720031,0.44529945,0.48716405,0.63770497,0.81582165,0.39290074,0.80353045
0.54903114,0.58683133,0.5038545,0.30104753,0.5893493,0.7366869,0.5082241,0.43270922,0.57782537,0.865536,0.39273757,0.82693464
0.5111258,0.53258985,0.51293606,0.30472323,0.5875737,0.6950666,0.5685918,0.3861227,0.50444514,0.8789932,0.36562756,0.825873
0.43625686,0.5244389,0.48758653,0.31934965,0.5794125,0.669137,0.630632,0.33813083,0.4409324,0.8659068,0.33541945,0.82252574
0.3677344,0.48968583,0.47592193,0.34606,0.5679378,0.63971025,0.68650585,0.279861,0.37234905,0.83485335,0.31426194,0.8182388
0.35539508,0.49227902,0.43124962,0.36752746,0.5197416,0.5901139,0.72988564,0.24105616,0.32060206,0.7983234,0.3166153,0.8050491
0.33914253,0.5016412,0.43471763,0.4148622,0.45508912,0.5154803,0.7682312,0.21485472,0.27326354,0.7582759,0.353249,0.7838915
0.37150174,0.46598518,0.40916482,0.4701625,0.42311716,0.45444253,0.8104465,0.2092122,0.2246645,0.70986325,0.40582457,0.74582154
0.33593708,0.37533817,0.40954837,0.5104808,0.405073,0.39693844,0.8444658,0.22994933,0.17877649,0.6529163,0.45605814,0.69001335
0.3022273,0.33066314,0.39619282,0.57155573,0.37738797,0.325947,0.8714615,0.25022826,0.13893087,0.58817726,0.5039467,0.61459595
0.32750857,0.30144575,0.35002717,0.63201827,0.35955894,0.24654427,0.89090437,0.2901382,0.10834605,0.52043015,0.5587871,0.53563446
0.36901522,0.2771958,0.34638643,0.694415,0.31975666,0.17076983,0.9056444,0.3529395,0.07771066,0.44057903,0.6190387,0.45815942
0.38442585,0.27375484,0.3941408,0.7739009,0.28123552,0.13566047,0.91927564,0.40711936,0.051608097,0.3517027,0.68310493,0.37965214
0.40682614,0.26309007,0.31765565,0.8584737,0.2717247,0.11457035,0.9314759,0.477001,0.02646864,0.25283396,0.73110604,0.2934108
