L_imu_ax,L_imu_ay,L_imu_az,L_imu_gx,L_imu_gy,L_imu_gz,R_imu_ax,R_imu_ay,R_imu_az,R_imu_gx,R_imu_gy,R_imu_gz
0.27467522,0.4567929,0.6344962,0.8904833,0.3195234,0.51709104,0.36074856,0.47312963,0.4468744,0.74212,0.70608985,0.82678026
0.35096455,0.59722126,0.5876063,0.86691177,0.26066363,0.59107184,0.28128016,0.66330147,0.36279547,0.69859403,0.6505979,0.8308088
0.41698334,0.71788126,0.5971756,0.8337756,0.21868742,0.6634231,0.25202084,0.7274118,0.3524827,0.6020381,0.5267298,0.84869397
0.4676293,0.8211448,0.6381298,0.7850843,0.21520583,0.71297395,0.28698993,0.6471647,0.35320234,0.4817518,0.39332795,0.8733342
0.44939014,0.8587349,0.67502683,0.7416209,0.276528,0.7650273,0.38937247,0.55483896,0.4003623,0.40558997,0.30048794,0.87923163
0.42172757,0.87113357,0.72839063,0.7133376,0.3479285,0.7969631,0.4852556,0.4610167,0.55643344,0.3726904,0.2505677,0.8752937
0.41484195,0.8690815,0.7439416,0.66678953,0.42712402,0.81300604,0.5858844,0.4154969,0.6343038,0.38646257,0.26241335,0.86925614
0.4378575,0.80953014,0.75093436,0.6037248,0.49103302,0.8063687,0.6640602,0.4602426,0.7087782,0.40939415,0.32449427,0.8592546
0.4433908,0.741017,0.751063,0.5215445,0.54607415,0.7770839,0.70133567,0.522106,0.68288195,0.43301043,0.41570994,0.8400827
0.47282845,0.6952967,0.6580838,0.45759833,0.5973081,0.73976284,0.7133616,0.5662823,0.6591723,0.4469811,0.48723936,0.80598253
0.48248705,0.6354609,0.5525661,0.40576866,0.6513716,0.6991937,0.7016109,0.5935254,0.65555024,0.452685,0.5219694,0.7539363
0.47731146,0.5747401,0.48251078,0.36691454,0.68357587,0.65959483,0.6802119,0.5940721,0.59419835,0.4540509,0.5245774,0.6872627
0.5063652,0.5038466,0.42855448,0.32958937,0.71336997,0.6110067,0.6655177,0.573667,0.60214543,0.442814,0.5037691,0.61295485
0.58945876,0.44480145,0.36251262,0.28127992,0.72105366,0.54458535,0.66621506,0.5399488,0.5849803,0.4143772,0.4712532,0.5398443
0.66523814,0.38637364,0.33181006,0.24148965,0.7121142,0.47391182,0.6725304,0.49229723,0.5526072,0.40370095,0.43486694,0.46708748
0.67537993,0.33995208,0.2882803,0.20126583,0.6946804,0.40388802,0.68667865,0.42978662,0.5232344,0.3980871,0.40690243,0.38511547
0.7194453,0.27727658,0.25642547,0.18468909,0.69063467,0.33931172,0.70919657,0.34856743,0.52355725,0.41278404,0.39205167,0.2966786
0.73731184,0.22004645,0.23668562,0.17157306,0.6770742,0.28721613,0.72758204,0.2769813,0.5050069,0.45562112,0.3932509,0.20193237
0.7125363,0.17289585,0.29261672,0.17164344,0.66395724,0.24752277,0.7293701,0.22845343,0.48470843,0.5172298,0.41740313,0.10493737
0.6613247,0.1424472,0.27515408,0.19523533,0.6658895,0.22908433,0.7220045,0.18668403,0.449314,0.5708418,0.46325943,0.019952586
