L_imu_ax,L_imu_ay,L_imu_az,L_imu_gx,L_imu_gy,L_imu_gz,R_imu_ax,R_imu_ay,R_imu_az,R_imu_gx,R_imu_gy,R_imu_gz
0.70029956,0.7291237,0.42239267,0.2171432,0.76471925,0.2855905,0.10246901,0.93961656,0.95036036,0.16147536,0.5790627,0.2915476
0.35853553,0.8630831,0.46877915,0.24306592,0.6795449,0.593995,0.19047758,0.6631954,0.9550996,0.23775408,0.53418565,0.23591836
0.63761747,0.99109495,0.48540485,0.28214777,0.8642375,0.7878513,0.2500041,0.67320555,0.9053258,0.39994958,0.65062237,0.28309688
0.8295547,0.66626364,0.17774606,0.21220456,0.8121369,0.6925664,0.29271317,0.7746462,0.8025441,0.5213431,0.730531,0.36312777
0.76349914,0.50271463,0.26761425,0.16187103,0.52513534,0.7161797,0.29408255,0.7682891,0.73656523,0.62681293,0.7353748,0.48459357
0.80120564,0.49728066,0.44065017,0.14198744,0.561959,0.7666065,0.26363397,0.65431756,0.6976198,0.7001587,0.65456927,0.6456738
0.74991584,0.5098884,0.3577675,0.16247568,0.5740149,0.82982206,0.24867903,0.5115986,0.6447599,0.7547188,0.536109,0.787428
0.5954231,0.547258,0.53372204,0.1901303,0.6896049,0.85335445,0.26145285,0.44074136,0.5819996,0.79034495,0.42164698,0.85216904
0.49202743,0.53673637,0.48917177,0.1960561,0.8142469,0.78071797,0.3129415,0.3809079,0.5387648,0.8035836,0.32950693,0.86569273
0.40666243,0.38264716,0.4535781,0.24863343,0.7774726,0.66969174,0.39587653,0.29098737,0.47901845,0.8107827,0.29084456,0.8586798
0.29380354,0.25204903,0.5154187,0.314552,0.69636333,0.57782257,0.49816808,0.24577025,0.43805647,0.8093284,0.2953706,0.86317897
0.27808616,0.25464684,0.5038475,0.31883433,0.6714914,0.50626856,0.57310224,0.21892914,0.39467365,0.80066234,0.3223922,0.8762373
0.2731385,0.19667493,0.5220424,0.36789742,0.6041602,0.40719515,0.6270162,0.22472462,0.32210228,0.7867774,0.36264697,0.88816434
0.29007638,0.1402919,0.61115474,0.46545506,0.51903355,0.30462223,0.67612815,0.24842516,0.26498157,0.74134207,0.38849637,0.8797232
0.28355163,0.180127,0.49501348,0.5306467,0.459504,0.26325643,0.73165977,0.21237677,0.19347095,0.7009027,0.38963708,0.8612642
0.26366726,0.18868941,0.4981314,0.6430172,0.40655917,0.30012652,0.78685266,0.15158004,0.12599868,0.64696914,0.395377,0.8300244
0.33990324,0.18456647,0.4190973,0.7351521,0.33823943,0.29578578,0.8455552,0.1105436,0.09318398,0.5785294,0.41215122,0.78308064
0.4221657,0.11691934,0.46234465,0.85516506,0.23208761,0.2531437,0.88586754,0.09232859,0.06789466,0.51980615,0.4515903,0.7331017
0.41127104,0.17310214,0.40317994,0.9122025,0.14700705,0.19135045,0.9227112,0.12643363,0.034883745,0.4557585,0.52334064,0.6745357
0.30629098,0.1748761,0.33568433,1.0,0.059131186,0.17008463,0.96679807,0.19012712,0.0065401867,0.38975173,0.6131389,0.6231272
