L_imu_ax,L_imu_ay,L_imu_az,L_imu_gx,L_imu_gy,L_imu_gz,R_imu_ax,R_imu_ay,R_imu_az,R_imu_gx,R_imu_gy,R_imu_gz
0.44311473,0.29749668,0.26050672,0.6329528,0.19040176,0.97304916,0.4951718,0.7462179,0.51971376,0.13205583,0.92625797,0.026804788
0.6001708,0.25592685,0.2337418,0.6643994,0.22131677,0.9652311,0.44335246,0.83288485,0.6171242,0.15084653,0.8910874,0.058590896
0.7094782,0.25439534,0.19700481,0.68460315,0.258517,0.9451243,0.3726788,0.8743044,0.6710949,0.1913196,0.8725094,0.09824276
0.7586553,0.29543293,0.18468723,0.6476224,0.284985,0.9095859,0.30256408,0.88178766,0.7336709,0.2685241,0.8575031,0.1667097
0.7889831,0.35155696,0.2119596,0.5963952,0.2821876,0.8617191,0.23627408,0.8760847,0.7760085,0.3308333,0.8205551,0.24487609
0.79254663,0.4409735,0.27922425,0.5252803,0.2572335,0.8032896,0.18834125,0.85173905,0.8093929,0.37174162,0.7495507,0.3238372
0.78255177,0.5542077,0.33199742,0.44233054,0.22083887,0.7328909,0.15242846,0.8354367,0.8588359,0.41833392,0.6712592,0.4053775
0.78383446,0.65455675,0.416716,0.36975095,0.21336661,0.6575163,0.14022546,0.8004432,0.8788907,0.47650656,0.5989808,0.48296124
0.78672415,0.69249386,0.48452017,0.3070625,0.24032614,0.5791374,0.15690333,0.7405199,0.8609666,0.5518186,0.53983057,0.5588336
0.77190316,0.7143619,0.5670973,0.26870966,0.31774417,0.5066349,0.19100018,0.6896343,0.80412334,0.62323326,0.47961625,0.628775
0.73512363,0.71084577,0.65385425,0.25863484,0.4316319,0.43848124,0.23679529,0.63297004,0.7433764,0.6815898,0.4131877,0.6987093
0.6729535,0.7044713,0.69245386,0.28111646,0.57124233,0.3689379,0.30016643,0.58327264,0.6917949,0.7208937,0.33808887,0.7618703
0.5728323,0.6883854,0.72620267,0.29538977,0.6902913,0.31195918,0.38651857,0.51239043,0.602138,0.7316418,0.2529327,0.8157081
0.47466877,0.69317126,0.7495935,0.3195008,0.77482784,0.25721452,0.4785941,0.43483952,0.52604115,0.7330173,0.1731364,0.860206
0.37602538,0.6848873,0.744286,0.3499921,0.81741154,0.2021317,0.58022594,0.35541874,0.4523368,0.74769914,0.12359797,0.8947641
0.30683783,0.6758917,0.7448803,0.3799459,0.83131844,0.14756118,0.68249124,0.27368018,0.3767451,0.77178246,0.10786267,0.91827095
0.24941602,0.6315369,0.75700015,0.41111967,0.8294594,0.099152714,0.76253253,0.2050256,0.30485365,0.8149751,0.11893214,0.93854535
0.19106534,0.54305923,0.73145086,0.46968445,0.8406566,0.060974006,0.8371584,0.13896306,0.23510812,0.8564121,0.14919063,0.9520768
0.14840361,0.46259776,0.70590913,0.548432,0.8598668,0.033391,0.9054944,0.07078154,0.14317839,0.8799891,0.17650199,0.9578106
0.104320936,0.36738545,0.66186714,0.6318671,0.8837433,0.016051823,0.96907365,0.024759743,0.07075822,0.8887923,0.19745772,0.95519525
